"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 03 06:10:47 GMT 2025","Wed Sep 03 06:10:47 GMT 2025","65","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Header validation",""
"passed","Wed Sep 03 06:10:31 GMT 2025","Wed Sep 03 06:10:32 GMT 2025","1823","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 06:11:09 GMT 2025","Wed Sep 03 06:11:17 GMT 2025","8044","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Smoke Test - Logo and Heading",""
"passed","Wed Sep 03 06:10:57 GMT 2025","Wed Sep 03 06:10:57 GMT 2025","95","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Contact Banner validation",""
"passed","Wed Sep 03 06:10:12 GMT 2025","Wed Sep 03 06:10:14 GMT 2025","1570","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 06:11:02 GMT 2025","Wed Sep 03 06:11:02 GMT 2025","58","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Footer validation",""
"passed","Wed Sep 03 06:08:48 GMT 2025","Wed Sep 03 06:08:49 GMT 2025","812","tests.api","test_boxes_negative","","","","test_boxes_invalid_path",""
"failed","Wed Sep 03 06:11:43 GMT 2025","Wed Sep 03 06:11:48 GMT 2025","5452","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 06:10:40 GMT 2025","Wed Sep 03 06:10:42 GMT 2025","1840","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 06:10:13 GMT 2025","Wed Sep 03 06:10:13 GMT 2025","122","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 06:08:47 GMT 2025","Wed Sep 03 06:08:48 GMT 2025","1306","tests.api","test_boxes_contract","","","","Boxes contract — minimal keys present on first item",""
"passed","Wed Sep 03 06:10:38 GMT 2025","Wed Sep 03 06:10:40 GMT 2025","2037","tests.web.desktop","test_home_footer","TestFooter","","","Validate Footer Links Navigation ",""
"passed","Wed Sep 03 06:10:49 GMT 2025","Wed Sep 03 06:10:49 GMT 2025","33","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Mobile Banner validation",""
"passed","Wed Sep 03 06:10:29 GMT 2025","Wed Sep 03 06:10:31 GMT 2025","1568","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form - Successful Submission",""
"passed","Wed Sep 03 06:08:45 GMT 2025","Wed Sep 03 06:08:46 GMT 2025","1426","tests.api","test_boxes","","","","GET /open_api/boxes returns list and minimal shape",""
"passed","Wed Sep 03 06:10:20 GMT 2025","Wed Sep 03 06:10:22 GMT 2025","1513","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 06:10:55 GMT 2025","Wed Sep 03 06:10:55 GMT 2025","87","tests.web.desktop","test_home_page","TestHomepage","","","Homepage Banner Steps validation",""
"passed","Wed Sep 03 06:10:58 GMT 2025","Wed Sep 03 06:10:58 GMT 2025","0","tests.web.mobile","test_mobile_home","","","","test_mobile_home_placeholder","Placeholder test for mobile web flows."
"passed","Wed Sep 03 06:10:21 GMT 2025","Wed Sep 03 06:10:23 GMT 2025","1514","tests.web.desktop","test_home_contact_form","TestContactForm","","","Contact Form Validation Invalid handler",""
"passed","Wed Sep 03 06:08:50 GMT 2025","Wed Sep 03 06:08:52 GMT 2025","1338","tests.api","test_boxes_scheme_param","","","","test_schema_all_items",""
"passed","Wed Sep 03 06:08:49 GMT 2025","Wed Sep 03 06:08:50 GMT 2025","878","tests.api","test_boxes_negative","","","","test_boxes_method_not_allowed",""
"passed","Wed Sep 03 06:11:05 GMT 2025","Wed Sep 03 06:11:06 GMT 2025","855","tests.web.smoke","test_smoke_home","TestHomeSmoke","","","Homepage Mobile Banner validation",""
