"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Testing","Reqres API","Users","0","0","5","0","0"
"Marketing Site","Home/ Contact Form","","0","0","10","0","0"
"Marketing Site","Home/ Heading","","0","0","2","0","0"
"Marketing Site","Homepage","","0","0","2","0","0"
"Admin Portal","Authentication","","0","1","3","4","0"
"API Testing","Reqres API","Resources","0","0","2","0","0"
"API Testing","Reqres API","Authentication","0","0","2","0","0"
"API Testing","Noovo API","Structure Validation","0","0","1","0","0"
"Marketing Site","Home/ Footer","","0","0","6","0","0"
"API Testing","Noovo API","Performance","0","0","1","0","0"
"API Testing","Noovo API","Get Noovo List","0","0","1","0","0"
"API Testing","Noovo API","Error Handling","0","0","1","0","0"
"API Testing","Noovo API","Data Validation","0","0","1","0","0"
"API Testing","Noovo API","Integration","0","0","1","0","0"
